Team,Contract Type,Status,Year Signed,Yrs,Total,APY,Guarantees,Amount Earned,Percent Earned,Effective APY,Name
Jets,Extension,Terminated,2001,7,"$80,600,000","$11,514,286","$11,000,000","$12,000,000",14.9%,"$12,000,000",Brett Favre
Vikings,SFA,Renegotiated,2009,2,"$25,000,000","$12,500,000","$6,000,000","$12,000,000",48.0%,"$12,000,000",Brett Favre
Vikings,Other,Expired,2010,1,"$16,000,000","$16,000,000","$4,400,000","$16,000,000",100.0%,"$16,000,000",Brett Favre
Oilers,Drafted,Renegotiated,1995,7,"$27,441,750","$3,920,250","$12,181,000","$22,984,250",83.8%,"$3,830,708",Steve McNair
Titans,Extension,Renegotiated,2001,5,"$42,542,500","$8,508,500","$10,000,000","$23,750,000",55.8%,"$7,916,667",Steve McNair
Titans,Other,Traded,2004,6,"$63,250,010","$10,541,668","$6,090,000","$14,250,010",22.5%,"$7,125,005",Steve McNair
Ravens,Extension,Reserve,2006,4,"$22,000,000","$5,500,000","$11,000,000","$16,000,000",72.7%,"$8,000,000",Steve McNair
Buccaneers,Drafted,Traded,1985,6,"$4,892,000","$815,333","$1,142,000","$1,692,000",34.6%,"$846,000",Steve Young
49ers,Drafted,Expired,1985,6,"$4,892,000","$815,333","$1,142,000","$3,200,000",65.4%,"$800,000",Steve Young
49ers,UFA,Expired,1991,2,"$4,480,000","$2,240,000",$0,"$4,480,000",100.0%,"$2,240,000",Steve Young
49ers,Franchise,Renegotiated,1993,5,"$25,250,000","$5,050,000","$2,500,000","$20,750,000",82.2%,"$5,187,500",Steve Young
49ers,Other,Renegotiated,1997,6,"$45,000,000","$7,500,000",$0,"$3,000,000",6.7%,"$3,000,000",Steve Young
